go_id	go_term	go_domain	size	genes
GO:0000428	DNA-directed RNA polymerase complex	cellular_component	21	504355|504452|505641|507533|508049|509717|512971|515119|516337|526320|529184|534232|535288|539061|540308|540428|614472|614776|617375|784720|100125877
GO:0000429	carbon catabolite regulation of transcription from RNA polymerase II promoter	biological_process	1	407239
GO:0000430	regulation of transcription from RNA polymerase II promoter by glucose	biological_process	1	407239
GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose	biological_process	1	407239
GO:0000436	carbon catabolite activation of transcription from RNA polymerase II promoter	biological_process	1	407239
GO:0000439	core TFIIH complex	cellular_component	3	511829|511896|518046
GO:0000444	MIS12/MIND type complex	cellular_component	2	616311|767858
GO:0000445	THO complex part of transcription export complex	cellular_component	3	510250|529231|533001
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	2	281898|615178
GO:0000448	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	1	523474
GO:0000459	exonucleolytic trimming involved in rRNA processing	biological_process	3	533245|540516|615712
GO:0000460	maturation of 5.8S rRNA	biological_process	4	506667|523474|528209|618292
GO:0000461	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	2	281898|615178
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	9	404140|508270|511210|513714|514128|516063|526343|530464|539602
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	1	528209
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	1	528209
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	3	533245|540516|615712
GO:0000469	cleavage involved in rRNA processing	biological_process	7	281898|523474|533245|540516|615178|615712|768075
GO:0000470	maturation of LSU-rRNA	biological_process	1	528209
GO:0000478	endonucleolytic cleavage involved in rRNA processing	biological_process	4	281898|523474|615178|768075
GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	4	281898|523474|615178|768075
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	1	768075
GO:0000502	proteasome complex	cellular_component	15	282013|282015|282110|282328|505106|506676|510593|519729|528142|530186|530189|533348|540564|617807|767981
GO:0000578	embryonic axis specification	biological_process	2	526448|539003
GO:0000700	mismatch base pair DNA N-glycosylase activity	molecular_function	1	515499
GO:0000701	purine-specific mismatch base pair DNA N-glycosylase activity	molecular_function	1	515499
GO:0000702	oxidized base lesion DNA N-glycosylase activity	molecular_function	1	326588
GO:0000710	meiotic mismatch repair	biological_process	1	533115
GO:0000712	resolution of meiotic recombination intermediates	biological_process	2	613732|618018
GO:0000715	nucleotide-excision repair, DNA damage recognition	biological_process	1	530189
GO:0000717	nucleotide-excision repair, DNA duplex unwinding	biological_process	1	507984
GO:0000720	pyrimidine dimer repair by nucleotide-excision repair	biological_process	1	615637
GO:0000722	telomere maintenance via recombination	biological_process	1	519974
GO:0000723	telomere maintenance	biological_process	6	505721|509625|514213|519974|529507|534852
GO:0000724	double-strand break repair via homologous recombination	biological_process	15	505102|507507|512977|514402|514749|519974|529507|532916|533842|541130|613474|617651|767981|768244|100139498
GO:0000725	recombinational repair	biological_process	16	505102|507507|512977|513642|514402|514749|519974|529507|532916|533842|541130|613474|617651|767981|768244|100139498
GO:0000726	non-recombinational repair	biological_process	3	511299|513868|515933
GO:0000729	DNA double-strand break processing	biological_process	6	286803|511299|512977|530506|540969|541130
GO:0000731	DNA synthesis involved in DNA repair	biological_process	1	510244
GO:0000733	DNA strand renaturation	biological_process	3	281542|338072|529922
GO:0000737	DNA catabolic process, endonucleolytic	biological_process	24	281495|281630|281770|282217|282218|326588|327707|444987|507989|509365|510858|511299|511790|512730|512977|515176|515343|529922|535203|540969|615637|615965|616242|768244
GO:0000738	DNA catabolic process, exonucleolytic	biological_process	4	281630|282099|359714|538883
GO:0000768	syncytium formation by plasma membrane fusion	biological_process	3	281662|512682|615310
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity	molecular_function	1	360197
GO:0000774	adenyl-nucleotide exchange factor activity	molecular_function	3	514599|515580|539034
GO:0000775	chromosome, centromeric region	cellular_component	15	281729|282320|360192|414925|504437|510809|523047|524361|533230|535321|536936|539602|540966|615527|768207
GO:0000776	kinetochore	cellular_component	36	282010|282318|282370|282684|282705|404151|407119|408000|414925|505011|505284|506509|509117|510540|511612|512530|513551|513751|514327|514564|518186|522810|527201|534811|538238|538921|539594|540783|613724|613732|615953|617866|618018|767930|768207|782916
GO:0000777	condensed chromosome kinetochore	cellular_component	29	282318|282684|407119|408000|414925|505011|505284|506509|509117|510540|511612|513551|513751|514327|514564|518186|522810|534811|538921|539594|540783|613724|613732|615953|617866|618018|767930|768207|782916
GO:0000779	condensed chromosome, centromeric region	cellular_component	2	504437|768207
GO:0000780	condensed nuclear chromosome, centromeric region	cellular_component	2	504437|768207
