go_id	go_term	go_domain	size	genes
GO:0001071	nucleic acid binding transcription factor activity	molecular_function	429	3475332|3475348|3475350|3475376|3475378|3475381|3475391|3475394|3475412|3475430|3475434|3475444|3475472|3475492|3475498|3475502|3475507|3475513|3475516|3475531|3475539|3475543|3475548|3475554|3475555|3475566|3475589|3475600|3475603|3475607|3475615|3475627|3475632|3475654|3475660|3475665|3475668|3475712|3475738|3475759|3475777|3475789|3475810|3475814|3475826|3475839|3475852|3475878|3475889|3475907|3475909|3475920|3475947|3475950|3475958|3475966|3475981|3476017|3476040|3476076|3476109|3476116|3476134|3476138|3476145|3476156|3476160|3476172|3476183|3476187|3476191|3476201|3476203|3476212|3476214|3476222|3476225|3476228|3476232|3476239|3476254|3476261|3476265|3476276|3476282|3476284|3476302|3476327|3476347|3476354|3476371|3476375|3476381|3476400|3476404|3476409|3476411|3476416|3476455|3476457|3476462|3476471|3476483|3476488|3476492|3476496|3476555|3476565|3476574|3476585|3476593|3476598|3476602|3476612|3476618|3476632|3476639|3476646|3476699|3476704|3476710|3476715|3476719|3476723|3476739|3476763|3476780|3476786|3476790|3476792|3476831|3476901|3476919|3476928|3476931|3476944|3476974|3476979|3476990|3476996|3477010|3477057|3477086|3477109|3477123|3477136|3477170|3477174|3477180|3477218|3477220|3477237|3477240|3477241|3477250|3477254|3477282|3477295|3477299|3477321|3477323|3477325|3477364|3477370|3477385|3477387|3477388|3477394|3477408|3477415|3477417|3477454|3477504|3477520|3477582|3477600|3477632|3477633|3477639|3477659|3477690|3477691|3477698|3477705|3477721|3477722|3477731|3477734|3477737|3477740|3477753|3477757|3477770|3477791|3477792|3477796|3477811|3477833|3477840|3477847|3477853|3477856|3477874|3477889|3477901|3477903|3477908|3477919|3477939|3477969|3477985|3477993|3477997|3478000|3478057|3478085|3478099|3478109|3478126|3478127|3478134|3478169|3478191|3478218|3478232|3478303|3478318|3478322|3478325|3478338|3478361|3478383|3478398|3478417|3478425|3478426|3478483|3478486|3478496|3478509|3478531|3478540|3478569|3478587|3478594|3478608|3478631|3478643|3478646|3478650|3478655|3478667|3478672|3478674|3478676|3478677|3478684|3478696|3478698|3478706|3478735|3478740|3478801|3478808|3478812|3478820|3478842|3478845|3478855|3478868|3478871|3478876|3478890|3478916|3478930|3478938|3478939|3478947|3479012|3479036|3479043|3479072|3479091|3479098|3479198|3479214|3479221|3479224|3479227|3479229|3479247|3479263|3479280|3479287|3479301|3479310|3479319|3479324|3479331|3479354|3479377|3479391|3479401|3479407|3479410|3479429|3479451|3479460|3479495|3479515|3479517|3479518|3479523|3479550|3479573|3479575|3479590|3479598|3479602|3479605|3479607|3479611|3479622|3479630|3479694|3479701|3479740|3479741|3479772|3479776|3479785|3479789|3479803|3479813|3479860|3479926|3479994|3480010|3480015|3480042|3480055|3480067|3480076|3480085|3480092|3480119|3480123|3480132|3480181|3480183|3480234|3480236|3480263|3480265|3480292|3480303|3480316|3480368|3480374|3480399|3480410|3480414|3480440|3480478|3480485|3480497|3480512|3480518|3480529|3480530|3480571|3480577|3480583|3480608|3480632|3480638|3480677|3480690|3480715|3480721|3480735|3480739|3480748|3480767|3480793|3480795|3480802|3480805|3480817|3480822|3480846|3480847|3480853|3480869|3480887|3480893|3480916|3480928|3480940|3480972|3480990|3481022|3481048|3481093|3481126|3481184|3481199|3481203|3481208|3481256|3481279|3481306|3481319|3481321|3481330|3481338|3481344|3481345|3481350|3481354|3481358|3481361|3481371|3481376|3481386|3481401|3481407|3481438|3481458
GO:0001510	RNA methylation	biological_process	7	3477627|3479526|3479753|3480177|3480232|3480595|3481010
GO:0001522	pseudouridine synthesis	biological_process	7	3476961|3477263|3477558|3478505|3478971|3479698|3479815
GO:0001539	cilium or flagellum-dependent cell motility	biological_process	39	3477216|3477217|3477218|3477221|3477222|3477223|3477224|3477225|3477230|3477231|3477232|3477233|3477234|3477586|3477587|3477589|3477597|3477599|3477602|3478192|3478193|3478194|3478195|3478196|3478197|3478198|3478201|3478208|3478209|3478210|3478596|3478597|3478598|3478599|3478602|3479737|3480348|3481146|3481147
GO:0001680	tRNA 3'-terminal CCA addition	biological_process	1	3480031
GO:0001716	L-amino-acid oxidase activity	molecular_function	1	3475795
GO:0001760	aminocarboxymuconate-semialdehyde decarboxylase activity	molecular_function	1	3479053
GO:0001882	nucleoside binding	molecular_function	50	3475449|3475528|3475529|3475569|3475571|3476383|3476392|3476793|3476797|3476799|3476800|3476841|3476927|3477483|3477640|3477693|3477744|3477936|3478039|3478043|3478074|3478082|3478121|3478189|3478264|3478713|3479097|3479299|3479361|3479467|3479633|3479667|3479670|3479742|3479748|3479768|3480209|3480228|3480257|3480296|3480601|3480682|3480799|3480871|3480979|3481027|3481148|3481234|3481408|3481410
GO:0001883	purine nucleoside binding	molecular_function	50	3475449|3475528|3475529|3475569|3475571|3476383|3476392|3476793|3476797|3476799|3476800|3476841|3476927|3477483|3477640|3477693|3477744|3477936|3478039|3478043|3478074|3478082|3478121|3478189|3478264|3478713|3479097|3479299|3479361|3479467|3479633|3479667|3479670|3479742|3479748|3479768|3480209|3480228|3480257|3480296|3480601|3480682|3480799|3480871|3480979|3481027|3481148|3481234|3481408|3481410
GO:0001887	selenium compound metabolic process	biological_process	1	3475916
