go_id	go_name	go_domain	tax_id	annotation_type	size	gene_ids	gene_symbols
GO:0000077	DNA damage checkpoint signaling	biological_process	10090	direct	49	11920|12649|12753|13555|13972|15270|15574|17096|19247|19355|19356|19367|22040|26416|27103|27223|27354|28000|28135|50883|60364|65964|66131|67490|71702|72440|77065|80285|102423|106504|208266|209200|210554|226591|231724|235323|235559|235610|245000|269582|319955|668198|668203|668205|668209|668213|668216|102635357|102635473	Atm|Chek1|Clock|E2f1|Gnb1l|H2ax|Hus1|Lyn|Ptpn11|Rad1|Rad17|Rad9a|Trex1|Mapk14|Eif2ak4|Trp53bp1|Nbn|Prpf19|Cep63|Chek2|Donson|Map3k20|Tipin|Ufl1|Cdc5l|Rhno1|Ints7|Parp9|Hinfp|Stk38|Dot1l|Dtx3l|Hus1b|Tiprl|Rad9b|Usp28|Topbp1|Atrip|Atr|Clspn|Ercc6|Cdc5lrt5|Cdc5lrt6|Cdc5lrt7|Cdc5lrt8|Cdc5lrt9|Cdc5lrt10|Cdc5lrt1|Cdc5lrt4
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	10090	direct	11	12144|12575|12578|12579|12580|12581|55948|66165|66971|69237|80280	Blm|Cdkn1a|Cdkn2a|Cdkn2b|Cdkn2c|Cdkn2d|Sfn|Bccip|Cdk5rap1|Gtpbp4|Cdk5rap3
GO:0000080	mitotic G1 phase	biological_process	10090	direct	1	320558	Sycp2
GO:0000082	G1/S transition of mitotic cell cycle	biological_process	10090	direct	76	11479|12043|12322|12323|12325|12427|12428|12442|12443|12444|12445|12447|12448|12449|12450|12452|12453|12530|12534|12566|12567|12571|12576|12795|13557|13559|13684|13685|14056|15481|15904|16412|16798|17420|17863|17869|18018|18715|18973|19055|19645|20104|20620|24075|27401|50523|50927|56469|56696|57775|63955|66214|67628|67857|69581|69681|70891|72508|78832|83563|100088|102423|106795|107771|108058|209091|218630|225182|238555|240665|268697|319651|320595|380694|404710|636931	Acvr1b|Bcl2|Camk2a|Camk2b|Camk2g|Ccna1|Ccna2|Ccnb2|Ccnd1|Ccnd2|Ccnd3|Ccne1|Ccne2|Ccnf|Ccng1|Ccng2|Ccni|Cdc25a|Cdk1|Cdk2|Cdk4|Cdk6|Cdkn1b|Plk3|E2f3|E2f5|Eif4e|Eif4ebp1|Ezh2|Hspa8|Id4|Itgb1|Lats1|Mnat1|Myb|Myc|Nfatc1|Pim2|Pole|Ppp3ca|Rb1|Rps6|Plk2|Taf10|Skp2|Lats2|Nasp|Pias1|Gpr132|Usp29|Cables1|Rgcc|Anp32b|Ppp6c|Rhou|Cdk3|Spdya|Rps6kb1|Cacul1|Usp26|Rcc1|Hinfp|Tcf19|Bmyc|Camk2d|Ccnb3|Ccno|Rbbp8|Btn2a2|Ccnj|Ccnb1|Usp37|Phf8|Ccnjl|Iqgap3|Trim71
GO:0000084	mitotic S phase	biological_process	10090	direct	1	103164605	Paupar
GO:0000085	mitotic G2 phase	biological_process	10090	direct	1	50883	Chek2
GO:0000086	G2/M transition of mitotic cell cycle	biological_process	10090	direct	43	11799|11820|12313|12314|12315|12428|12530|12531|12532|12534|12649|12704|14235|16798|18008|18514|18647|18669|18671|18795|18817|21987|22209|22410|27401|50883|53892|56205|59046|67121|67974|68431|71276|72088|75770|77035|116871|216825|223843|228714|319944|381979|448987	Birc5|App|Calm1|Calm2|Calm3|Ccna2|Cdc25a|Cdc25b|Cdc25c|Cdk1|Chek1|Cit|Foxm1|Lats1|Nes|Pbx1|Cdk14|Abcb1b|Abcb1a|Plcb1|Plk1|Tpd52l1|Ube2a|Wnt10b|Skp2|Chek2|Ppm1d|Ensa|Arpp19|Mastl|Ccny|Fbxl15|Ccdc57|Ush1c|Brsk2|Kdm8|Mta3|Usp22|Dbx2|Kat14|Taf2|Brsk1|Fbxl7
GO:0000089	mitotic metaphase	biological_process	10090	direct	2	18023|107995	Nfe2l1|Cdc20
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity	molecular_function	10090	direct	1	67582	Slc25a26
GO:0000103	sulfate assimilation	biological_process	10090	direct	4	23971|23972|53315|54200	Papss1|Papss2|Sult1d1|Sult2b1
GO:0000104	succinate dehydrogenase activity	molecular_function	10090	direct	1	66945	Sdha
GO:0000105	L-histidine biosynthetic process	biological_process	10090	direct	2	108156|665563	Mthfd1|Mthfd2l
GO:0000109	nucleotide-excision repair complex	cellular_component	10090	direct	6	13870|18971|22591|22592|50505|71991	Ercc1|Pold1|Xpc|Ercc5|Ercc4|Ercc8
GO:0000110	nucleotide-excision repair factor 1 complex	cellular_component	10090	direct	3	13870|22590|50505	Ercc1|Xpa|Ercc4
GO:0000111	nucleotide-excision repair factor 2 complex	cellular_component	10090	direct	1	22591	Xpc
GO:0000112	nucleotide-excision repair factor 3 complex	cellular_component	10090	direct	1	13872	Ercc3
GO:0000118	histone deacetylase complex	cellular_component	10090	direct	42	12419|14013|15182|15183|15184|15185|15254|15460|17191|19646|20185|20220|20466|20602|21372|23942|50724|56233|60406|68703|70315|76233|79221|81004|104263|104383|108829|170787|192285|208727|212712|214742|217864|224829|228913|232232|238317|245688|268903|277250|433759|666528	Cbx5|Mecom|Hdac2|Hdac3|Hdac5|Hdac6|Hint1|Hr|Mbd2|Rbbp4|Ncor1|Sap18|Sin3a|Ncor2|Tbl1x|Mta2|Sap30l|Hdac7|Sap30|Rere|Hdac8|Dnttip1|Hdac9|Tbl1xr1|Kdm3a|Rcor2|Jmjd1c|Hdac10|Phf21a|Hdac4|Satb2|Rcor3|Rcor1|Trerf1|Zfp217|Hdac11|Mideas|Rbbp7|Nrip1|Kdm3b|Hdac1|Zfp541
GO:0000120	RNA polymerase I transcription regulator complex	cellular_component	10090	direct	4	21339|21340|21341|21374	Taf1a|Taf1b|Taf1c|Tbp
GO:0000121	glycerol-1-phosphatase activity	molecular_function	10090	direct	1	67078	Pgp
